species_code,site_code,id,x,y,genus,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,min.minT,max.maxT,aet,pet,aet.pet.ratio,not.hot.precip
NOSO,NEWZ046,4052,171.75,-43.25,Nothofagus,solandri,7.289383888,9.17531395,0.455802888,0.01330386,17.89999962,-2.230000019,20.12999916,5.345274925,11.53518963,12.03042984,2.407692909,1848,41.48339844,22.81999969,0.117559299,510.5404968,385.4396057,394.3085938,484.8302917,129.8663025,194,58.41939926,0.383810103,129.7935028,162.7232971,183.0496979,68.91462708,1.220003963,1.295526028,1.044654012,0.057150979,1.282626987,1.118332028,1.118332028,1.28113997,-23,179,46.14029942,804,0.057388432,1453.691406
NOSO,NEWZ047,4062,171.7,-43.08,Nothofagus,solandri,7.381600857,9.042163849,0.455984086,0.01306731,17.79999924,-2.029999971,19.82999992,6.851758957,11.26364994,12.03645992,2.58871007,2410,55.10929871,29.50659943,0.1217383,676.8267822,501.7724915,520.006897,606.6884155,129.2577972,193.2400055,58.15159988,0.382957011,151.3170013,155.7678986,182.3103027,68.69667053,1.331962943,1.419101,1.117792964,0.057975061,1.396880984,1.217913985,1.221276999,1.376340032,-21,178,47.92723517,757,0.063312068,1889.993103
NOSO,NEWZ049,4058,171.78,-43.12,Nothofagus,solandri,7.381600857,9.042163849,0.455984086,0.01306731,17.79999924,-2.029999971,19.82999992,6.851758957,11.26364994,12.03645992,2.58871007,2410,55.10929871,29.50659943,0.1217383,676.8267822,501.7724915,520.006897,606.6884155,129.2577972,193.2400055,58.15159988,0.382957011,151.3170013,155.7678986,182.3103027,68.69667053,1.331962943,1.419101,1.117792964,0.057975061,1.396880984,1.217913985,1.221276999,1.376340032,-21,178,47.92723517,757,0.063312068,1889.993103
NOSO,NEWZ050,4068,171.63,-43.05,Nothofagus,solandri,6.080567837,9.073124886,0.450726509,0.01342069,16.89999962,-3.230000019,20.12999916,5.991648197,10.07021999,10.85748005,1.196377993,2797,63.5931015,33.42499924,0.123422898,784.7855835,580.3908081,601.6207886,704.965271,128.9904022,192.8170013,58.02190018,0.382801205,157.3701019,155.6847992,182.0921936,68.61180878,1.408959031,1.505658984,1.157914996,0.0614934,1.483152032,1.281491995,1.287093997,1.453279018,-33,169,47.52898573,722,0.06582962,2195.379211
NOSO,NEWZ052,2665,171.8,-43.15,Nothofagus,solandri,7.381600857,9.042163849,0.455984086,0.01306731,17.79999924,-2.029999971,19.82999992,6.851758957,11.26364994,12.03645992,2.58871007,2410,55.10929871,29.50659943,0.1217383,676.8267822,501.7724915,520.006897,606.6884155,129.2577972,193.2400055,58.15159988,0.382957011,151.3170013,155.7678986,182.3103027,68.69667053,1.331962943,1.419101,1.117792964,0.057975061,1.396880984,1.217913985,1.221276999,1.376340032,-21,178,47.92723517,757,0.063312068,1889.993103
NOSO,NEWZ053,4076,171.58,-43.08,Nothofagus,solandri,6.080567837,9.073124886,0.450726509,0.01342069,16.89999962,-3.230000019,20.12999916,5.991648197,10.07021999,10.85748005,1.196377993,2797,63.5931015,33.42499924,0.123422898,784.7855835,580.3908081,601.6207886,704.965271,128.9904022,192.8170013,58.02190018,0.382801205,157.3701019,155.6847992,182.0921936,68.61180878,1.408959031,1.505658984,1.157914996,0.0614934,1.483152032,1.281491995,1.287093997,1.453279018,-33,169,47.52898573,722,0.06582962,2195.379211
LIBI,NEWZ055,4073,170.97,-43.08,Libocedrus,bidwillii,6.580244064,9.240469933,0.450096011,0.01348155,17.60000038,-2.930000067,20.53000069,6.489864826,10.61153984,11.38984966,1.649875045,3336,76.40470123,41.03979874,0.118539199,946.992981,710.3604126,734.0562134,818.5072021,127.9067001,190.9259949,57.43289948,0.383596003,155.7765045,155.3538971,181.0547943,67.84747314,1.510614991,1.633517981,1.230594039,0.061049361,1.602156043,1.381803036,1.387313962,1.537778974,-30,176,45.61306177,808,0.056451809,2601.943787
LIBI,NEWZ059,5361,171.8,-42.38,Libocedrus,bidwillii,10.81898975,8.348443031,0.465613097,0.01119639,19.79999924,1.870000005,17.93000031,10.6159296,14.30601978,14.88237953,6.684415817,2901,67.31790161,37.80870056,0.136002004,848.3441772,601.9345093,625.18927,692.258606,127.1393967,190.1730042,58.07189941,0.373891085,153.2454987,154.1587982,175.5169067,68.94962311,1.432057977,1.533851027,1.216707945,0.059244748,1.520884991,1.31160903,1.317985058,1.440659046,18,198,54.98470765,817,0.067300744,2275.81073
LIBI,NEWZ060,5369,174.08,-39.25,Libocedrus,bidwillii,9.942970276,8.09161377,0.451801211,0.01127202,19.60000038,1.690320015,17.90967941,5.913051128,14.13864994,14.13864994,5.913051128,4288.000977,102.5950012,52.28559875,0.189153507,1306.588989,794.8571167,794.8571167,1306.588989,136.2312927,201.0930023,66.43319702,0.348353803,80.97717285,186.0095978,186.0095978,80.97717285,1.701753974,1.935531974,1.356001019,0.1086969,1.915588021,1.447219014,1.448009014,1.915588021,16,196,75.2117838,852,0.088276742,3493.14386
LIBI,NEWZ061,5370,174.1,-39.28,Libocedrus,bidwillii,9.942970276,8.09161377,0.451801211,0.01127202,19.60000038,1.690320015,17.90967941,5.913051128,14.13864994,14.13864994,5.913051128,4288.000977,102.5950012,52.28559875,0.189153507,1306.588989,794.8571167,794.8571167,1306.588989,136.2312927,201.0930023,66.43319702,0.348353803,80.97717285,186.0095978,186.0095978,80.97717285,1.701753974,1.935531974,1.356001019,0.1086969,1.915588021,1.447219014,1.448009014,1.915588021,16,196,75.2117838,852,0.088276742,3493.14386
